1::relaxation: inner damping factor,1::relaxation: sweeps,1::relaxation: type,3::relaxation: damping factor,3::relaxation: sweeps,3::relaxation: type,4::relaxation: sweeps,4::relaxation: type,time
0.3272,2,Two-stage Gauss-Seidel,0.8738,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,10.96464
0.3748,2,Two-stage Gauss-Seidel,0.5821,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,10.993
0.2964,2,Two-stage Gauss-Seidel,0.6281,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.01666
0.3809,2,Two-stage Gauss-Seidel,0.6378,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.10474
0.3603,2,Two-stage Gauss-Seidel,0.765,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.13401
0.3761,2,Two-stage Gauss-Seidel,0.9902,1,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,11.23537
0.312,2,Two-stage Gauss-Seidel,0.6338,1,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,11.24521
0.3497,2,Two-stage Gauss-Seidel,0.7563,1,MT Gauss-Seidel,3,Two-stage Gauss-Seidel,11.2471
0.344,2,Two-stage Gauss-Seidel,0.5847,1,MT Gauss-Seidel,3,Two-stage Gauss-Seidel,11.27967
0.4146,2,Two-stage Gauss-Seidel,0.974,2,MT Gauss-Seidel,3,Two-stage Gauss-Seidel,11.32329
0.331,2,Two-stage Gauss-Seidel,0.9001,1,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,11.38477
0.4098,2,Two-stage Gauss-Seidel,0.6246,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.5354
0.2069,2,Two-stage Gauss-Seidel,0.8413,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.547
0.2631,2,Two-stage Gauss-Seidel,0.4428,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.56493
0.2711,2,Two-stage Gauss-Seidel,1.1801,1,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,11.70641
0.2673,2,Two-stage Gauss-Seidel,0.946,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.71099
0.4442,2,Two-stage Gauss-Seidel,0.6313,2,MT Gauss-Seidel,3,Two-stage Gauss-Seidel,11.76371
0.2176,2,Two-stage Gauss-Seidel,1.0246,1,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,11.77194
0.45,2,Two-stage Gauss-Seidel,0.6782,2,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,11.814340000000001
0.4356,2,Two-stage Gauss-Seidel,0.606,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.82656
0.1655,2,Two-stage Gauss-Seidel,0.6166,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.8526
0.3127,1,Two-stage Gauss-Seidel,1.1744,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.905539999999998
0.3323,1,Two-stage Gauss-Seidel,0.9628,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.9841
0.3273,1,Two-stage Gauss-Seidel,0.749,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.01672
0.2223,1,Two-stage Gauss-Seidel,1.1322,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.04689
0.3467,1,Two-stage Gauss-Seidel,0.6389,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.07387
0.3595,2,Two-stage Gauss-Seidel,0.5487,2,Two-stage Gauss-Seidel,1,Two-stage Gauss-Seidel,12.10721
0.3351,1,Two-stage Gauss-Seidel,0.6826,1,MT Gauss-Seidel,3,Two-stage Gauss-Seidel,12.129850000000001
0.3582,2,Two-stage Gauss-Seidel,0.9044,1,MT Gauss-Seidel,1,Two-stage Gauss-Seidel,12.135110000000001
0.2641,1,Two-stage Gauss-Seidel,0.6294,2,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,12.18118
0.356,2,Two-stage Gauss-Seidel,0.5237,2,MT Gauss-Seidel,1,Two-stage Gauss-Seidel,12.19368
0.3259,1,Two-stage Gauss-Seidel,0.9359,2,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,12.212340000000001
0.1277,2,Two-stage Gauss-Seidel,0.7314,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.23411
0.3082,1,Two-stage Gauss-Seidel,0.4547,2,Two-stage Gauss-Seidel,3,Two-stage Gauss-Seidel,12.2463
0.3812,1,Two-stage Gauss-Seidel,0.4819,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.2561
0.1985,1,Two-stage Gauss-Seidel,1.0054,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.261230000000001
0.3671,2,Two-stage Gauss-Seidel,0.9771,2,MT Gauss-Seidel,1,Two-stage Gauss-Seidel,12.27111
0.1182,2,Two-stage Gauss-Seidel,0.6424,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.31734
0.1886,1,Two-stage Gauss-Seidel,0.7502,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.32216
0.3534,2,Two-stage Gauss-Seidel,0.4735,2,MT Gauss-Seidel,1,Two-stage Gauss-Seidel,12.35546
0.2296,1,Two-stage Gauss-Seidel,1.0943,2,MT Gauss-Seidel,3,Two-stage Gauss-Seidel,12.42679
0.3417,1,Two-stage Gauss-Seidel,0.8153,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.44096
0.2222,1,Two-stage Gauss-Seidel,0.7231,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.46283
0.1671,1,MT Gauss-Seidel,0.7609,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.48436
0.3254,2,Two-stage Gauss-Seidel,0.5675,2,MT Gauss-Seidel,1,Two-stage Gauss-Seidel,12.50635
0.2547,1,MT Gauss-Seidel,0.8912,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.51264
0.1059,1,MT Gauss-Seidel,1.1575,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.536059999999999
