relaxation: damping factor,relaxation: sweeps,time
0.9212231758073992,1,14.3902
0.8923962925887032,1,14.3945
0.924163047058661,1,14.4031
0.9220749606040735,1,14.4054
0.9303160109929673,1,14.419
0.9796447207783949,1,14.4205
0.9047137715510769,1,14.4238
0.9492746887165947,1,14.4239
0.9689543502111858,1,14.4282
0.9022872795447396,1,14.4298
0.9235310713383946,1,14.4316
0.9615908439837055,1,14.4355
0.9801218555815524,1,14.4355
0.8609830079106713,1,14.4356
0.8940389658343263,1,14.4391
0.894223407416096,1,14.4398
0.8748841934317817,1,14.4402
0.80820762138681,1,14.4426
0.9430211726613584,1,14.4439
1.0021130173220765,1,14.4449
0.861927686958445,1,14.4451
0.9836061884118968,1,14.4455
0.9480988242133037,1,14.4494
0.9827484495530333,1,14.4508
0.9582624427474382,1,14.4511
0.9504489910861499,1,14.4523
0.9762797550329377,1,14.4552
1.0028921447716785,1,14.4558
0.9742819560176609,1,14.4582
0.90219367142061,1,14.4584
0.9800720487297248,1,14.4591
0.9062949659127351,1,14.4594
1.0360859236190163,1,14.4606
0.9614739133809536,1,14.4606
0.8255156912707879,1,14.4635
0.9521930271624941,1,14.4638
0.9423521116882965,1,14.4648
0.951550262496339,1,14.4678
0.8659419944010237,1,14.4681
0.9798675788372246,1,14.4683
1.0429315187040253,1,14.4688
0.8641556985178506,1,14.473
0.9181519764599286,1,14.4776
0.9613028009586649,1,14.4778
1.0042635220349136,1,14.4801
0.9915200476817371,1,14.4806
1.0398263905485692,1,14.4814
0.8770715431189087,1,14.4831
1.0285437697031827,1,14.4832
0.9960186684370489,1,14.4846
1.0282589016157515,1,14.4852
0.8934479953644646,1,14.4855
0.968669128173957,1,14.486
0.9708113156335062,1,14.4872
1.013658606376541,1,14.4876
0.9516173565439722,1,14.4881
0.9331278070997722,1,14.4891
1.0350334628113758,1,14.4927
0.9135290053289518,1,14.4928
0.988525254119113,1,14.4932
0.8986351094569776,1,14.4935
0.9730477204078027,1,14.4945
1.0178725632892431,1,14.4952
1.0196555804592577,1,14.4956
1.0511496211671891,1,14.4964
0.85858328006432,1,14.4974
1.0258947169802815,1,14.4974
1.0265159687740883,1,14.4986
0.8896492974620357,1,14.5002
0.9875718158745099,1,14.5026
0.951166517612053,1,14.5053
1.0147127869803714,1,14.5062
1.0322912273083333,1,14.5071
1.0201626051899482,1,14.5077
0.8735129087877654,1,14.5079
0.9861343209367819,1,14.5085
1.0278977544904844,1,14.5095
1.008789662063891,1,14.5119
1.0282507504938128,1,14.5132
0.971483159549213,1,14.5147
1.0446225171792782,1,14.5151
0.8650974127799743,1,14.5154
0.9990453600993517,1,14.5161
0.9587201648559537,1,14.5176
0.8714372894839029,1,14.5179
1.0166585039161202,1,14.5183
1.0284909275035534,1,14.5183
1.0546808003865868,1,14.5189
0.979384297323898,1,14.5191
1.0315433135326741,1,14.52
0.9600432204575369,1,14.5201
0.9404785368004039,1,14.5204
