relaxation: damping factor,relaxation: sweeps,time
0.9541415585877735,1,12.2155
1.006979989565604,1,12.2326
1.0355583263331212,1,12.2336
1.0091197889439552,1,12.2432
0.9669640662132497,1,12.2512
0.8638228793664766,1,12.2555
1.0453435225568761,1,12.2897
0.9422810314900277,1,12.2907
0.7565378985694778,1,12.3092
0.8030423820645276,1,12.3343
0.9271597366383407,1,12.3389
0.8171759968776576,1,12.3395
0.8763935194295387,1,12.3419
0.9293450793945556,1,12.3431
0.8520792033366135,1,12.3497
0.9761709293433962,1,12.3498
0.9432627621286601,1,12.3501
0.9970084887891308,1,12.354
0.7765443054516639,1,12.3551
0.7698588679211761,1,12.3574
0.8638521535929463,1,12.3582
0.8943852435719337,1,12.3598
0.9714786160243065,1,12.3602
0.8771976826454946,1,12.3609
0.9239944540857519,1,12.363
0.957677697627467,1,12.3631
0.8389145597675081,1,12.3638
0.7218159965854902,1,12.3643
0.9606447301940634,1,12.3647
0.9948851969887131,1,12.3666
0.9023450768912503,1,12.3673
0.9575591594352793,1,12.3681
0.8877019192788003,1,12.3686
0.8872821882523765,1,12.3688
0.9145266555248077,1,12.3692
0.982760742110178,1,12.3715
0.9179799038076705,1,12.3717
0.9054912103589635,1,12.3741
0.9893206864094604,1,12.378
0.7168022908042488,1,12.3787
0.8273171372398865,1,12.3789
0.8337797006925713,1,12.3794
0.7923151612530377,1,12.3818
0.758206378032617,1,12.383
0.9811280289365547,1,12.383
0.9445296777193978,1,12.3832
0.9447641891557276,1,12.3833
0.9589062152649751,1,12.3847
0.8519350321674363,1,12.3855
0.784173578743424,1,12.386
1.009711812002669,1,12.3861
0.8167813587704789,1,12.3865
0.7697542695721282,1,12.3873
0.8639628894839257,1,12.3898
0.7685154938312947,1,12.39
0.8185728279529855,1,12.39
1.0212978599225055,1,12.3914
0.8901817374111081,1,12.3919
1.0438516966824305,1,12.3926
1.0210633649860583,1,12.3928
0.7937651189405821,1,12.3948
1.0385761218370884,1,12.395
0.9732913103816054,1,12.3962
0.9137357224694754,1,12.3973
1.0034505181561064,1,12.3975
0.8867475075037522,1,12.3977
1.0813981305181188,1,12.4
0.8048207866783115,1,12.4036
0.8654670375086184,1,12.404
0.9081868734643284,1,12.4049
1.039481157230001,1,12.4059
1.0316472810188877,1,12.4091
0.98271306514332,1,12.4112
1.0333475944514718,1,12.4134
0.8593821669333974,1,12.4141
0.9200278188160107,1,12.4159
0.7926730269063907,1,12.4208
1.065129907806641,1,12.4221
1.0579384388110782,1,12.4263
0.9999998346692306,1,12.4274
1.0156040427403965,1,12.4317
1.0719140255958386,1,12.4329
0.9855634744545871,1,12.4379
1.0551154091063055,1,12.4396
1.0800267008833744,1,12.4413
0.878898997790043,1,12.4433
1.0741620953175859,1,12.4435
1.088879627093421,1,12.474
1.0924934712755359,1,12.475
1.0533611371881333,1,12.4785
1.0693594701847386,1,12.4848
1.1308607262666004,1,12.4903
1.0928822699021687,1,12.4915
1.0969494488984421,1,12.4966
0.9599772498964071,1,12.497
0.9987262670155536,1,12.4993
1.0605278987918016,1,12.5001
1.0796792453880908,1,12.5051
1.0830092459068688,1,12.5058
1.0932644227046475,1,12.5166
1.0800088249721198,1,12.5176
1.100021986373243,1,12.5355
1.0976788285533718,1,12.5484
1.0963445124844708,1,12.5579
1.121434899819305,1,12.5581
1.1349379221187046,1,12.5626
1.1166778138499094,1,12.5646
1.0918820746659663,1,12.5816
1.1410117074747128,1,12.5959
1.1125473942763142,1,12.6051
1.1341287287163317,1,12.6075
1.1301250940504617,1,12.6299
0.9050595301239073,2,12.6313
0.873969507556708,2,12.643
1.1459232819701257,1,12.6475
1.132936495597281,1,12.6486
1.1392845217554848,1,12.6528
1.0402368297577123,2,12.6584
0.838995224583597,2,12.659
1.1269036322167325,2,12.6637
1.03237958914684,2,12.6662
1.0361680550804968,2,12.6685
1.1382176383075144,1,12.6687
0.8454861416466921,2,12.6703
1.073594130812242,2,12.6755
1.0608204574377964,2,12.6772
1.027212463139031,2,12.6781
1.1488862433532563,1,12.6789
1.0641614341155223,2,12.6795
1.0041540556180077,2,12.6796
1.053055766246324,2,12.6797
1.0112731552106096,2,12.6801
1.0119567839106343,2,12.6818
0.9345182934076094,2,12.6829
1.0306575091168864,2,12.6852
1.0581016257308806,2,12.6906
1.039260607401455,2,12.6922
0.9977321352373307,2,12.6936
1.0715973821065705,2,12.6947
1.0150884426954014,2,12.6973
