relaxation: damping factor,relaxation: sweeps,time
0.9,1,12.1996
0.6,1,12.2497
0.7,1,12.2521
0.8,1,12.2888
1.0,1,12.3036
0.5,1,12.3496
1.1,1,12.4317
0.4,1,12.4579
1.0,2,12.551
1.1,2,12.6371
0.9,2,12.6438
0.7,2,12.7306
0.8,2,12.7448
0.6,2,12.7497
1.2,1,12.801
0.5,2,12.8816
1.2,2,12.9059
0.4,2,12.9568
1.1,3,13.0956
0.9,3,13.1158
1.0,3,13.1278
1.2,3,13.2411
0.7,3,13.2753
0.8,3,13.2779
0.6,3,13.324
0.5,3,13.5041
1.3,2,13.5055
1.1,4,13.6434
0.4,3,13.6988
1.2,4,13.72
1.0,4,13.7703
0.9,4,13.8271
0.8,4,13.8471
1.3,3,13.9178
1.3,1,13.9306
0.7,4,13.9882
0.6,4,14.0485
0.5,4,14.092
1.3,4,14.093
0.4,4,14.2154
1.4,3,16.1008
1.4,4,16.1628
1.4,2,16.32
1.4,1,18.3258
1.5,4,25.2339
1.5,3,25.7638
1.5,2,28.456
1.5,1,35.8687
1.6,1,inf
1.6,2,inf
1.6,3,inf
1.6,4,inf
