relaxation: damping factor,relaxation: sweeps,time
0.8,1,12.1781
0.9,1,12.2051
0.7,1,12.2532
1.0,1,12.2554
0.6,1,12.2642
0.5,1,12.3777
1.1,1,12.3995
0.4,1,12.4508
1.1,2,12.5998
0.8,2,12.6732
0.9,2,12.6863
0.7,2,12.7719
1.0,2,12.7901
1.2,1,12.8126
1.2,2,12.8511
0.5,2,12.8849
0.6,2,12.9107
0.4,2,12.9474
1.0,3,13.1124
1.1,3,13.1214
0.9,3,13.1851
0.8,3,13.2375
1.2,3,13.245
0.7,3,13.264
0.6,3,13.3782
0.5,3,13.4404
0.4,3,13.5854
1.1,4,13.6045
1.3,2,13.6094
1.2,4,13.672
1.0,4,13.71
0.9,4,13.7337
1.3,3,13.7856
1.3,1,13.8924
0.8,4,13.8977
0.6,4,14.0277
0.7,4,14.0291
1.3,4,14.1591
0.4,4,14.2169
0.5,4,14.4265
1.4,3,16.0936
1.4,4,16.2968
1.4,2,16.3113
1.4,1,18.361
1.5,4,25.1471
1.5,3,25.9616
1.5,2,28.5531
1.5,1,35.9439
1.6,1,inf
1.6,2,inf
1.6,3,inf
1.6,4,inf
1.7,1,inf
1.7,2,inf
1.7,3,inf
1.7,4,inf
