relaxation: damping factor,relaxation: sweeps,time
0.928,1,12.1978
0.968,1,12.2124
0.976,1,12.2124
0.856,1,12.2178
0.772,1,12.2315
0.832,1,12.2337
1.012,1,12.2414
0.744,1,12.247
0.808,1,12.2656
0.96,1,12.2677
0.98,1,12.288
0.984,1,12.2978
0.972,1,12.3206
1.048,1,12.3351
1.072,1,12.3383
0.784,1,12.3423
0.944,1,12.3427
0.82,1,12.3455
0.94,1,12.3462
0.904,1,12.3469
1.06,1,12.3475
0.964,1,12.3481
1.084,1,12.3501
0.884,1,12.3505
0.948,1,12.3505
0.896,1,12.3526
0.844,1,12.3535
0.848,1,12.3543
0.868,1,12.3548
0.992,1,12.3553
0.892,1,12.3555
0.74,1,12.3584
0.92,1,12.3585
0.712,1,12.3599
0.796,1,12.3632
1.004,1,12.3693
0.748,1,12.3697
0.836,1,12.3704
0.988,1,12.3708
0.864,1,12.3715
0.936,1,12.3718
0.728,1,12.3727
0.912,1,12.3747
0.768,1,12.3749
0.78,1,12.3752
0.952,1,12.3753
0.828,1,12.3778
0.732,1,12.3786
1.0,1,12.3825
0.764,1,12.3868
0.956,1,12.3868
0.888,1,12.3872
0.72,1,12.388
0.876,1,12.3918
0.752,1,12.3942
0.756,1,12.3943
0.704,1,12.395
0.9,1,12.397
1.024,1,12.3973
0.84,1,12.3977
0.88,1,12.3993
1.008,1,12.4005
0.996,1,12.4062
0.804,1,12.408
0.776,1,12.4086
1.036,1,12.4098
0.76,1,12.4113
0.824,1,12.4128
1.028,1,12.4147
0.736,1,12.4174
0.816,1,12.4183
0.716,1,12.4185
0.708,1,12.4204
1.04,1,12.4226
0.852,1,12.4239
0.792,1,12.4241
1.068,1,12.4245
1.016,1,12.4254
1.02,1,12.4268
0.908,1,12.4284
0.932,1,12.4345
1.052,1,12.436
0.812,1,12.4384
0.8,1,12.4398
0.924,1,12.4398
1.032,1,12.4403
0.872,1,12.4405
0.916,1,12.4417
0.7,1,12.4457
1.076,1,12.4558
1.056,1,12.4576
1.064,1,12.4746
0.86,1,12.4824
1.044,1,12.4922
1.092,1,12.4948
1.08,1,12.5003
1.108,1,12.5153
1.112,1,12.5244
1.096,1,12.5301
1.088,1,12.5387
1.104,1,12.5658
1.12,1,12.5903
0.98,2,12.5996
0.992,2,12.6034
1.124,1,12.6046
1.064,2,12.612
1.04,2,12.6246
1.1,1,12.6268
0.972,2,12.6297
1.132,1,12.632
1.116,1,12.6364
1.128,1,12.647
0.884,2,12.6601
1.0,2,12.6651
0.908,2,12.6653
1.164,1,12.6654
0.824,2,12.6723
1.004,2,12.6725
1.136,1,12.675
0.84,2,12.6841
1.016,2,12.685
1.144,1,12.6852
0.988,2,12.6891
1.08,2,12.6952
1.02,2,12.6979
1.044,2,12.7012
1.14,1,12.7019
0.976,2,12.7021
1.052,2,12.7025
1.072,2,12.7057
0.772,2,12.7073
1.056,2,12.7081
0.968,2,12.7085
1.16,1,12.7086
0.932,2,12.7101
1.06,2,12.7102
1.008,2,12.7103
1.096,2,12.7149
0.96,2,12.7191
0.996,2,12.7192
1.024,2,12.7194
0.984,2,12.7201
0.8,2,12.7218
1.012,2,12.7233
0.764,2,12.7248
1.032,2,12.7249
1.092,2,12.7277
1.048,2,12.7296
0.788,2,12.7312
1.152,1,12.7317
1.068,2,12.7321
1.088,2,12.7321
0.964,2,12.736
1.036,2,12.7406
0.948,2,12.7431
0.912,2,12.7443
0.928,2,12.7455
1.156,1,12.7483
1.028,2,12.749
0.956,2,12.7505
0.876,2,12.7509
1.108,2,12.7519
0.9,2,12.7524
0.94,2,12.7526
1.084,2,12.7542
0.916,2,12.7597
1.192,1,12.7603
1.1,2,12.7611
0.896,2,12.7617
1.104,2,12.7619
0.944,2,12.7623
0.92,2,12.7635
0.904,2,12.7657
0.872,2,12.7661
0.892,2,12.7663
0.924,2,12.7666
0.748,2,12.767
0.888,2,12.7693
0.88,2,12.7694
0.952,2,12.7733
1.168,1,12.7773
0.936,2,12.7804
0.864,2,12.7829
0.832,2,12.7833
0.776,2,12.7843
