relaxation: damping factor,relaxation: sweeps,time
0.868,2,12.7862
0.784,2,12.7926
1.128,2,12.7938
1.14,2,12.7951
0.828,2,12.7961
0.796,2,12.7969
0.856,2,12.7978
1.172,1,12.8002
0.756,2,12.8009
1.116,2,12.8022
0.844,2,12.8023
1.184,1,12.8052
0.808,2,12.8064
1.112,2,12.8086
1.136,2,12.8109
1.148,1,12.8146
0.78,2,12.8147
0.812,2,12.8148
0.768,2,12.8153
0.86,2,12.8159
1.12,2,12.8225
0.836,2,12.8265
0.76,2,12.8318
0.74,2,12.8334
1.176,1,12.834
0.728,2,12.8341
1.148,2,12.8357
1.18,1,12.8387
0.752,2,12.8422
0.82,2,12.843
0.72,2,12.8476
1.188,1,12.8481
0.716,2,12.8505
0.848,2,12.8506
0.708,2,12.8541
1.164,2,12.8549
1.172,2,12.8553
1.132,2,12.8581
0.7,2,12.8601
0.704,2,12.8609
0.852,2,12.8615
1.156,2,12.8619
0.732,2,12.864
0.792,2,12.8688
1.152,2,12.8725
0.724,2,12.8744
1.124,2,12.8746
1.144,2,12.8789
1.076,2,12.8794
1.16,2,12.8795
1.184,2,12.8946
1.204,1,12.8957
1.176,2,12.8974
1.2,2,12.8985
0.804,2,12.9047
1.18,2,12.9222
0.744,2,12.9287
1.2,1,12.9292
1.192,2,12.9332
1.196,1,12.9347
0.736,2,12.9349
0.712,2,12.9355
1.168,2,12.9436
1.188,2,12.9523
1.22,2,12.9826
1.232,2,12.9901
1.196,2,13.0003
0.816,2,13.0121
1.204,2,13.0273
1.22,1,13.0601
1.208,2,13.0625
1.244,2,13.0645
1.224,2,13.0667
1.208,1,13.0685
1.212,2,13.0706
1.228,2,13.0944
1.236,2,13.1337
1.212,1,13.1355
1.224,1,13.1465
1.24,2,13.1487
1.228,1,13.176
1.252,2,13.1882
1.216,2,13.2053
1.248,2,13.2091
1.24,1,13.237
1.232,1,13.246
1.256,2,13.261
1.244,1,13.306
1.236,1,13.3097
1.26,2,13.3172
1.216,1,13.3183
0.724,1,13.3421
1.264,2,13.3429
1.248,1,13.4125
1.268,2,13.4135
1.292,2,13.4172
1.252,1,13.4312
1.26,1,13.4549
1.284,2,13.4581
1.264,1,13.4734
1.276,2,13.4823
1.288,2,13.4965
1.256,1,13.4968
1.268,1,13.4994
1.28,2,13.5014
1.276,1,13.5226
1.272,2,13.5342
1.272,1,13.6175
1.3,2,13.6368
1.28,1,13.6739
1.296,2,13.6844
1.284,1,13.7171
1.288,1,13.7652
1.292,1,13.8059
1.3,1,13.8766
1.296,1,13.921
0.788,1,14.7749
